7.837049663088938578e-01,1.689281921229035532e-02
5.495516824211208462e-01,6.859190735349574020e-01
5.429255708250753099e-01,8.478155600439275519e-01
7.555702221985151068e-01,2.440189188965106171e-01
9.489444314213397735e-01,8.618657278534751498e-01
6.987507265474020013e-01,7.116014235880552263e-02
5.425123698521694404e-01,1.218046136764344700e-01
1.336764827866143701e-01,6.729418795971664480e-01
7.134039974753003666e-01,7.730813302276127175e-01
9.776933649345942445e-02,7.027537204454191722e-01
9.890964925925197493e-01,1.927198221191835925e-01
8.387682899852473284e-01,5.047692500614842093e-02
3.666785717110510046e-02,5.448597229489798854e-01
2.867114900196091609e-01,2.679796002523856524e-01
3.468625003451836220e-01,3.717001869227610777e-01
8.615267906671733034e-01,1.790105432482691494e-01
5.185166560783837086e-01,1.314954649714172863e-02
6.651215532443761624e-01,9.163328987754911781e-01
2.580022022835772866e-01,6.622756599787407161e-01
8.195663402282680199e-01,1.641500832541563648e-01
